Planet Name,Host Name,Number of Stars in System,Number of Planets in System,Discovery Method,Discovery Year,Controversial Flag,Orbital Period,Semi-Major Axis,Planet Earth Radius,Planet Jupiter Radius,Planet Earth Mass,Planet Jupiter Mass,Insolation Flux,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Distance
11 Com b,11 Com,2,1,Radial Velocity,2007,0,326.03,1.29,,,6165.6,19.4,,,4742.0,19.0,2.7,93.1846
11 UMi b,11 UMi,1,1,Radial Velocity,2009,0,516.21997,1.53,,,4684.8142,14.74,,,4213.0,29.79,2.78,125.321
14 And b,14 And,1,1,Radial Velocity,2008,0,185.84,0.83,,,1525.5,4.8,,,4813.0,11.0,2.2,75.4392
14 Her b,14 Her,1,2,Radial Velocity,2002,0,1773.40002,2.93,,,1481.0878,4.66,,,5338.0,0.93,0.9,17.9323
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,0,798.5,1.66,,,565.7374,1.78,,,5750.0,1.13,1.08,21.1397
17 Sco b,17 Sco,1,1,Radial Velocity,2020,0,578.38,1.45,,,1373.01871824,4.32,,,4157.0,25.92,1.22,124.953
18 Del b,18 Del,2,1,Radial Velocity,2008,0,982.85,2.476,,,2926.24614325,9.207,,,4980.0,8.8,2.1,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,0,,330.0,,,4000.0,12.0,,1700.0,4060.0,,0.85,139.135
24 Boo b,24 Boo,1,1,Radial Velocity,2018,0,30.3506,0.19,,,289.2253,0.91,,,4893.0,10.64,0.99,95.9863
24 Sex b,24 Sex,1,2,Radial Velocity,2010,0,452.8,1.333,,,632.46,1.99,,,5098.0,4.9,1.54,72.0691
24 Sex c,24 Sex,1,2,Radial Velocity,2010,0,883.0,2.08,,,273.32,0.86,,,5098.0,4.9,1.54,72.0691
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,0,,118.0,,,1271.313628,4.0,,1450.0,3100.0,0.84,0.17,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,0,,84.0,,,4131.79,13.0,,,,,0.19,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,0,,,11.209,1.0,,,,1600.0,3309.0,0.36645,0.353185,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,0,,156.0,16.14096,1.44,4417.837,13.9,,,3064.0,0.281,0.108,
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,0,,1950.0,,,3686.8095212,11.6,,,,,0.046,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,0,,572.0,,,5720.911326,18.0,,2369.0,,,,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,0,,15.0,,,2383.6,7.5,,,,,0.019,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,0,,266.0,,,8899.195396,28.0,,2677.0,,,,
